punto_nombre,punto_numero,punto_tipo,link,poblacion_total,hogares,desocupados,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_red_agua,sin_cloaca,densidad_comercios,x,y
25 DE MAYO,7280,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,21,-68.84423705,-32.87826315
DEL CASTILLO,7290,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,1,-68.86972257,-32.8784005
CUYO,7295,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,1,-68.86981129,-32.87837814
PERU,7297,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,21,-68.84555114,-32.87841807
AV ESPAÃ‘A,7305,Interseccion,500070106,664,268,21,104,120,16,103,12,154,30,65,233,8,610,18,2,2,0,7,-68.83890454,-32.8784187
9 DE JULIO,7309,Interseccion,500070106,664,268,21,104,120,16,103,12,154,30,65,233,8,610,18,2,2,0,30,-68.83760074,-32.87848915
GRANADEROS,7320,Interseccion,500070607,794,297,32,104,127,19,122,21,175,38,88,265,24,736,27,0,0,8,24,-68.85474081,-32.87851925
CHILE,7332,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,18,-68.84293292,-32.87852301
DE SAN MARTIN JOSE GRAL AV,7343,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,58,-68.83625417,-32.87856855
DE ESCALADA DE SAN MARTIN R,7355,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,60,-68.83596561,-32.87859522
LA VIÃ‘A,7366,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,20,-68.84217397,-32.87866633
LA RIOJA,7376,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,53,-68.83501445,-32.87865709
MITRE BARTOLOME GRAL AV,7388,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,19,-68.84172501,-32.87875593
SALTA,7398,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,32,-68.8336999,-32.87875453
MITRE BARTOLOME GRAL AV,7411,Interseccion,500070105,571,266,29,77,104,18,65,24,146,18,68,203,6,534,21,0,0,1,18,-68.84153261,-32.87878274
MARTINEZ DE ROZAS JUAN,7421,Interseccion,500070607,794,297,32,104,127,19,122,21,175,38,88,265,24,736,27,0,0,8,25,-68.85322293,-32.87881503
FCGSM,7435,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,7,-68.84695023,-32.87886162
MORENO JOSE FEDERICO,7445,Interseccion,500070213,808,311,23,156,102,37,179,36,251,37,68,149,8,738,40,5,0,1,25,-68.83229987,-32.87885185
HUARPES,7456,Interseccion,500070608,949,349,16,165,115,37,106,44,170,31,109,364,31,862,44,3,0,1,10,-68.85841614,-32.87890217
MONTECASEROS,7465,Interseccion,500070213,808,311,23,156,102,37,179,36,251,37,68,149,8,738,40,5,0,1,24,-68.83088916,-32.87894012
ITUZAINGO,7477,Interseccion,500070212,470,157,12,78,85,12,118,12,145,18,60,70,8,433,20,0,0,0,18,-68.82949981,-32.87903742
PERU,7489,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,18,-68.84573165,-32.87908554
