ID;radio_censal;punto_tipo;poblacion;hogares;desocupado;0-14;65_mas;inicial;primario;egb;secundario;polimodal;superior;universitario;post_universitario;lee_y _esc;NoLee_ni_e;hacinamiento;sin_agua;sin_cloaca;densidad_comercial;microzonificacion;macrozonificacion;x;y;index
I48;500071107;Intersercción;770;257;15;143;149;26;168;34;212;33;72;178;7;712;27;2;0;4;6;Residencial urbano;Urbano;-68,84522467;-32,86335943;121
I49;500071104;Intersercción;796;294;35;127;164;25;124;27;222;33;88;214;25;738;30;0;0;0;5;Residencial urbano;Urbano;-68,84553449;-32,86336883;122
I50;500071104;Intersercción;796;294;35;127;164;25;124;27;222;33;88;214;25;738;30;0;0;0;4;Residencial urbano;Urbano;-68,8457909;-32,86337816;123
I51;500071104;Intersercción;796;294;35;127;164;25;124;27;222;33;88;214;25;738;30;0;0;0;3;Residencial urbano;Urbano;-68,84637849;-32,86339692;124
I52;500491217;Intersercción;733;235;21;158;50;28;111;16;180;19;100;234;5;672;32;0;0;0;1;Residencial urbano;Urbano;-68,85511801;-32,86341636;125
I53;500071104;Intersercción;796;294;35;127;164;25;124;27;222;33;88;214;25;738;30;0;0;0;2;Residencial urbano;Urbano;-68,84700881;-32,86341572;126
I54;;Intersercción;;;;;;;;;;;;;;;;;;;1;Residencial urbano;Urbano;-68,86116513;-32,86345027;127
I55;;Intersercción;;;;;;;;;;;;;;;;;;;1;Residencial urbano;Urbano;-68,86118116;-32,86345029;128
I56;500071104;Intersercción;796;294;35;127;164;25;124;27;222;33;88;214;25;738;30;0;0;0;2;Residencial urbano;Urbano;-68,84755365;-32,86344344;129
I57;500491217;Intersercción;733;235;21;158;50;28;111;16;180;19;100;234;5;672;32;0;0;0;1;Residencial urbano;Urbano;-68,85596197;-32,86346242;130
I58;500071104;Intersercción;796;294;35;127;164;25;124;27;222;33;88;214;25;738;30;0;0;0;2;Residencial urbano;Urbano;-68,84808784;-32,86345311;131
I59;;Intersercción;;;;;;;;;;;;;;;;;;;1;Residencial urbano;Urbano;-68,86169929;-32,86347791;132
I60;500071112;Intersercción;510;174;17;76;90;12;51;14;110;20;59;212;7;478;16;0;0;1;1;Residencial urbano;Urbano;-68,8564566;-32,86350055;133
I61;500071104;Intersercción;796;294;35;127;164;25;124;27;222;33;88;214;25;738;30;0;0;0;3;Residencial urbano;Urbano;-68,84867541;-32,86348087;134
I62;500070702;Intersercción;1018;346;46;182;195;40;216;27;274;39;137;208;14;922;58;2;0;2;6;Residencial urbano;Urbano;-68,83642082;-32,86346545;135
I63;;Intersercción;;;;;;;;;;;;;;;;;;;1;Residencial urbano;Urbano;-68,86227619;-32,8635056;136
I64;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;0;Residencial urbano;Urbano;-68,86045454;-32,86351711;137
I65;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;0;Residencial urbano;Urbano;-68,8604465;-32,86353062;138
I66;500071101;Intersercción;643;210;12;94;101;16;58;37;93;25;57;294;32;598;22;0;1;2;0;Residencial urbano;Urbano;-68,85787015;-32,86359332;139
I67;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;0;Residencial urbano;Urbano;-68,8604438;-32,86354865;140
I68;500490915;Intersercción;958;287;37;207;143;29;174;82;276;73;69;182;2;868;45;3;0;7;15;Comercial;Altamente urbano;-68,83250232;-32,8635324;141
I69;500071006;Intersercción;1614;413;102;498;122;56;491;388;294;110;36;40;2;1374;142;34;0;4;1;N/A;N/A;-68,86351154;-32,86358766;142
