ID,radio_censal,punto_tipo,poblacion,hogares,desocupado,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_agua,sin_cloaca,densidad_comercial,microzonificacion,macrozonificacion,x,y,index,clasificacion
I2136,500070809.0,Intersercción,528.0,188.0,11.0,87.0,102.0,16.0,40.0,24.0,82.0,18.0,47.0,250.0,23.0,487.0,16.0,0.0,0.0,0.0,8.0,Residencial urbano,Urbano,"-68,84851136","-32,90339845",2209,0.0
I2137,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,25.0,Comercial,Altamente urbano,"-68,84075121","-32,90342487",2210,0.0
I2138,500070809.0,Intersercción,528.0,188.0,11.0,87.0,102.0,16.0,40.0,24.0,82.0,18.0,47.0,250.0,23.0,487.0,16.0,0.0,0.0,0.0,10.0,Residencial urbano,Urbano,"-68,84796614","-32,90345189",2211,0.0
I2139,500070809.0,Intersercción,528.0,188.0,11.0,87.0,102.0,16.0,40.0,24.0,82.0,18.0,47.0,250.0,23.0,487.0,16.0,0.0,0.0,0.0,13.0,Residencial urbano,Urbano,"-68,847314","-32,90351872",2212,0.0
I2140,500070808.0,Intersercción,401.0,147.0,2.0,54.0,84.0,10.0,44.0,13.0,81.0,11.0,21.0,194.0,18.0,383.0,13.0,0.0,0.0,0.0,13.0,Residencial urbano,Urbano,"-68,84727124","-32,90352318",2213,0.0
I2141,500070807.0,Intersercción,594.0,212.0,7.0,62.0,116.0,11.0,43.0,27.0,98.0,24.0,61.0,295.0,20.0,573.0,9.0,0.0,2.0,1.0,20.0,Residencial urbano,Urbano,"-68,8458977","-32,90353502",2214,0.0
I2142,500070808.0,Intersercción,401.0,147.0,2.0,54.0,84.0,10.0,44.0,13.0,81.0,11.0,21.0,194.0,18.0,383.0,13.0,0.0,0.0,0.0,16.0,Residencial urbano,Urbano,"-68,84655496","-32,90359443",2215,0.0
I2143,500070807.0,Intersercción,594.0,212.0,7.0,62.0,116.0,11.0,43.0,27.0,98.0,24.0,61.0,295.0,20.0,573.0,9.0,0.0,2.0,1.0,19.0,Residencial urbano,Urbano,"-68,84595628","-32,90365231",2216,0.0
I2144,500070807.0,Intersercción,594.0,212.0,7.0,62.0,116.0,11.0,43.0,27.0,98.0,24.0,61.0,295.0,20.0,573.0,9.0,0.0,2.0,1.0,19.0,Residencial urbano,Urbano,"-68,84591352","-32,90365676",2217,0.0
I2145,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,44.0,Comercial,Altamente urbano,"-68,84281375","-32,9036529",2218,0.0
I2146,500070807.0,Intersercción,594.0,212.0,7.0,62.0,116.0,11.0,43.0,27.0,98.0,24.0,61.0,295.0,20.0,573.0,9.0,0.0,2.0,1.0,24.0,Residencial urbano,Urbano,"-68,84517586","-32,9037325",2219,0.0
I2147,500070807.0,Intersercción,594.0,212.0,7.0,62.0,116.0,11.0,43.0,27.0,98.0,24.0,61.0,295.0,20.0,573.0,9.0,0.0,2.0,1.0,30.0,Residencial urbano,Urbano,"-68,84466271","-32,90378145",2220,0.0
I2148,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,35.0,Comercial,Altamente urbano,"-68,84212943","-32,9037873",2221,0.0
I2149,500070807.0,Intersercción,594.0,212.0,7.0,62.0,116.0,11.0,43.0,27.0,98.0,24.0,61.0,295.0,20.0,573.0,9.0,0.0,2.0,1.0,34.0,Residencial urbano,Urbano,"-68,844203","-32,90383047",2222,0.0
I2150,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,36.0,Comercial,Altamente urbano,"-68,84289872","-32,90395958",2223,0.0
I2151,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,36.0,Comercial,Altamente urbano,"-68,84285329","-32,90396404",2224,0.0
I2152,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,34.0,Comercial,Altamente urbano,"-68,84265016","-32,90398632",2225,0.0
I2153,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,30.0,Comercial,Altamente urbano,"-68,8422145","-32,90403086",2226,0.0
I2154,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,29.0,Comercial,Altamente urbano,"-68,84213967","-32,90403978",2227,0.0
I2155,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,28.0,Comercial,Altamente urbano,"-68,84210759","-32,90404425",2228,0.0
I2156,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,18.0,Comercial,Altamente urbano,"-68,84093968","-32,90412843",2229,0.0
I2186,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,0.0,Residencial urbano,Urbano,"-68,90966754","-32,88623984",2259,0.0
I2189,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,0.0,Residencial urbano,Urbano,"-68,91069133","-32,88664795",2262,0.0
I2190,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,0.0,Residencial urbano,Urbano,"-68,90954418","-32,88673075",2263,0.0
I2191,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,0.0,Residencial urbano,Urbano,"-68,90873859","-32,8865539",2264,0.0
I2192,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,0.0,Residencial urbano,Urbano,"-68,9104321","-32,88706134",2265,0.0
I2194,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,0.0,Residencial urbano,Urbano,"-68,90830753","-32,88662109",2267,0.0
I2195,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,0.0,Residencial urbano,Urbano,"-68,90869048","-32,88673445",2268,0.0
I2197,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,0.0,Residencial urbano,Urbano,"-68,91108583","-32,88737065",2270,0.0
I2199,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,0.0,Residencial urbano,Urbano,"-68,91031577","-32,88725333",2272,0.0
I2201,500071301.0,Intersercción,1530.0,403.0,40.0,511.0,58.0,97.0,653.0,115.0,312.0,102.0,27.0,25.0,2.0,1254.0,147.0,47.0,3.0,72.0,0.0,Residencial urbano,Urbano,"-68,91129507","-32,88801916",2274,0.0
I2202,500071303.0,Intersercción,1314.0,285.0,52.0,382.0,39.0,49.0,569.0,140.0,236.0,110.0,25.0,34.0,0.0,1133.0,85.0,5.0,0.0,6.0,0.0,Residencial urbano,Urbano,"-68,90620687","-32,8867615",2275,1.0
I2203,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,0.0,Residencial urbano,Urbano,"-68,91098421","-32,88794682",2276,0.0
I2205,500071301.0,Intersercción,1530.0,403.0,40.0,511.0,58.0,97.0,653.0,115.0,312.0,102.0,27.0,25.0,2.0,1254.0,147.0,47.0,3.0,72.0,0.0,Residencial urbano,Urbano,"-68,91166968","-32,88811708",2278,0.0
I2209,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,1.0,Residencial urbano,Urbano,"-68,9098958","-32,88768196",2282,0.0
I2210,500071303.0,Intersercción,1314.0,285.0,52.0,382.0,39.0,49.0,569.0,140.0,236.0,110.0,25.0,34.0,0.0,1133.0,85.0,5.0,0.0,6.0,0.0,Residencial urbano,Urbano,"-68,90620687","-32,8867615",2283,1.0
I2211,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,1.0,Residencial urbano,Urbano,"-68,90833674","-32,88732318",2284,0.0
I2212,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,1.0,Residencial urbano,Urbano,"-68,9078437","-32,88721977",2285,0.0
I2214,500071302.0,Intersercción,1124.0,297.0,37.0,358.0,46.0,69.0,407.0,147.0,236.0,94.0,20.0,31.0,0.0,940.0,110.0,33.0,0.0,39.0,1.0,Residencial urbano,Urbano,"-68,90808723","-32,88727085",2287,0.0
I2228,500071305.0,Intersercción,748.0,217.0,43.0,185.0,55.0,37.0,268.0,36.0,206.0,38.0,26.0,52.0,1.0,650.0,48.0,5.0,0.0,13.0,0.0,Residencial urbano,Urbano,"-68,91101724","-32,88833421",2301,1.0
I2229,500071305.0,Intersercción,748.0,217.0,43.0,185.0,55.0,37.0,268.0,36.0,206.0,38.0,26.0,52.0,1.0,650.0,48.0,5.0,0.0,13.0,0.0,Residencial urbano,Urbano,"-68,91071034","-32,88960787",2302,1.0
I2233,500071305.0,Intersercción,748.0,217.0,43.0,185.0,55.0,37.0,268.0,36.0,206.0,38.0,26.0,52.0,1.0,650.0,48.0,5.0,0.0,13.0,1.0,Residencial urbano,Urbano,"-68,90829034","-32,88909186",2306,1.0
I2234,500071305.0,Intersercción,748.0,217.0,43.0,185.0,55.0,37.0,268.0,36.0,206.0,38.0,26.0,52.0,1.0,650.0,48.0,5.0,0.0,13.0,1.0,Residencial urbano,Urbano,"-68,90824699","-32,88908444",2307,1.0
I2235,500071304.0,Intersercción,1215.0,325.0,46.0,387.0,74.0,60.0,480.0,114.0,270.0,97.0,26.0,49.0,0.0,1051.0,92.0,33.0,1.0,68.0,1.0,Residencial urbano,Urbano,"-68,90815996","-32,88906955",2308,0.0
I2239,500071305.0,Intersercción,748.0,217.0,43.0,185.0,55.0,37.0,268.0,36.0,206.0,38.0,26.0,52.0,1.0,650.0,48.0,5.0,0.0,13.0,1.0,Residencial urbano,Urbano,"-68,90958627","-32,88935713",2312,1.0
I2240,500071305.0,Intersercción,748.0,217.0,43.0,185.0,55.0,37.0,268.0,36.0,206.0,38.0,26.0,52.0,1.0,650.0,48.0,5.0,0.0,13.0,1.0,Residencial urbano,Urbano,"-68,90883274","-32,88918471",2313,1.0
