SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
,Residencial urbano,Urbano,72.735,4,Cuarta Oeste,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,,,,-68.84178,-32.86477,"-68,84178-32,86477",803,9.49437
11ra Seccion San Agustin,Residencial de uso controlado,Interfaz,2.279,11,San Agustin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.89404,-32.89817,"-68,89404-32,89817",2522,0
,Residencial urbano,Urbano,72.735,4,Cuarta Oeste,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,,,,-68.84215,-32.86474,"-68,84215-32,86474",809,10.10937
6ta Seccion Residencial Norte,Residencial urbano,Urbano,72.185,6,Residencial Norte,500071107,770,257,15,143,149,26,168,34,212,33,72,178,7,712,27,2,0,4,,,,-68.84384,-32.86479,"-68,84384-32,86479",812,11.66755
8va Seccion Aeroparque,Residencial urbano,Urbano,121.811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-68.86363,-32.86486,"-68,86363-32,86486",855,1.50663
11ra Seccion San Agustin,Residencial de uso controlado,Interfaz,2.279,11,San Agustin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.89405,-32.89816,"-68,89405-32,89816",2519,0
6ta Seccion Residencial Norte,Residencial urbano,Urbano,77.496,6,Residencial Norte,500071112,510,174,17,76,90,12,51,14,110,20,59,212,7,478,16,0,0,1,,,,-68.8566,-32.86487,"-68,8566-32,86487",877,0.91905
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti要,Especial,2.279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-68.87569,-32.88645,"-68,87569-32,88645",9371,0
,Residencial urbano,Urbano,72.735,4,Cuarta Oeste,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,,,,-68.84004,-32.86511,"-68,84004-32,86511",951,9.4472
10ma Seccion Residencial Los Cerros,Residencial suburbano,Interfaz,,10,Residencial Los Cerros,500491106,723,199,8,174,67,34,164,48,157,27,70,177,9,661,40,3,59,120,,,,-68.89021,-32.86517,"-68,89021-32,86517",961,0
